Sentiment,
negative," Honestly, BJP hasnt given me enough reason to vote for them in ."
negative,But Congress has given more than enough reason to vote
negative,CBI set to charge PNB ex-MD in Nirav Modi scam today
negative, How Karnataka voted when the BJP won the Karnatakaelections
positive, Republic News Anchor Arnab Goswami Is BJP Agent.
positive,Let us kill Modi Insha Allah A dreaded ISIS plot eed inGujarat
positive, She thinks BJP is in opposition &amp; is the Prime Minister! Perhaps she time-travelled to
negative,"On pressing Banking, vote went to BJP.. Haddh hai yaar.."
positive,BJP such party where tea seller can become PM AmitShah
positive,Sunanda was.murdered in whose regime BJP or Cong ???
negative," PM Modi goes all out to win hearts, Nepal foreign minister terms Modi's visit historic and successful."
negative, When unfortunately Kathua incident happened blame Modi for handling .
negative," If BJP loses Karnataka, prepare for two things before"
positive, Some BJP fans keep on repeating will Government of Kerala reduce the tax on petroleum products? We have not increased th
positive, Care to tell me once where v hv to find after th may to seek his reaction as he said BJP will not cross
negative, I don't care if bjp wins every election...I would still say the is poisonous for India. Right is right even if
negative," So Kanna LakshmiNarayana who won terms in Congress and just joined BJP this term after being defeated, is now its state"
negative,years of Modi government Poll checks public mood - The Economic Times
positive, Liar liar high eectations BJP4India
negative,India-Nepal ties scaled new heights after Modi visit KPOli
negative, Slowly people are eed to communist/congress ideology and he told me there is a change in the outlook of people and Hindus
positive," Speaking to Karyakartas in Goa about Modi govt, Amit Shah says-"
negative,This is the first time after independence that a non-Congr
positive,"BJP leaders firm that bought Nagrota land owes Rs $NUMBER$ crore to J&amp;K Bank, accountNPA"
positive, Here is an anonymous individual who has the full knowledge of the reasons why Modi unanimously devided to go for .
positive, India not safe in BJPs hands as nation cannot be built on divides:
positive,Vote For BJP Vote For Vikas
positive,This is the VIKAS of BJP
negative," ) Ambedkar proposed caste based reservation for years, BJP wants it to continue forever. WTF am I supposed to do w"
positive, Who exactly is working in the BJP?
positive,He is still trying to bully BJP to shut up!
negative," Last Year, less then few months, Modi Govt quietly changed the base year to compare growth data. This is usually done eve"
positive,Modi screams. And rants. And whines.
positive, OpIndia contributors have serious comprehension issues. This idiot here refers to a CPIM woman candidate as a BJP candid
positive, Modi is planning to wage a war against shell cos
positive," I'm not a fan of any political party but to be fair, till , Rahul Gandhi was considered as a joke &amp; Narendra Modi"
positive," Both Trump and Modi have a complex relationship with ""fake news"" and ""false statements""."
positive," For your lapdog who keeps pondering on the question MODI V/s WHO let him know that it's Modi V/s us, All of us.f"
positive," BJP MLA Rakesh Rathore argued with police over death due to dog bites in Sitapur, also said, 'fault is of higher lead"
negative, Absolute Must watch on Modis lies about &amp; obsession with Nehru.
positive,Modis gutterchaap speeches have debased standard
negative, Addressed a Public rally in the Gondia-Bhandra LokSabha constituency in Maharastra today for BJP candidate Sh Hemant Patl
positive, BJP is governing Madhya Pradesh since yrs &amp; here are the achievements :
positive, The great Congress IT cell head Ramya and great FoS champion Prakash Raj skip from casting their votes!
positive,Kannada actress Bhavana joins BJP.
positive," When nation eected Modi to be tough with China on Doklam, he taken refuge in headline management &amp; when that got ee"
positive, Will BJP investigate video of alleged bribe to CJI for Reddy Brothers and file a case? U
positive, Narendra Modi Amit Shah is not guilty.
positive, Desperation to win Karnataka has walked BJP into its most visible compromise with organised political crime and corruptio
negative,What prompted Modi Govt to change the base year again or it's a kind of systematic approach to hide inefficiency of the Mini
positive,If you love BJP go to Assam
negative,  Congress did nothing in years.
positive, Congratulations to for visiting Hindu pilgrimage sites of Pashupatinath and Muktinath in Nepal. I have visite
positive,Thats why Modi can fly around the world and do nothing and he is justified. Also they shouldnt be judged for mistakes.
negative, Its actually a part of BJPs poll-campaign for year
negative," Bad news for BJP % people in Rajasthan, Chhattisgarh &amp; MP want to vote it out....."
negative,"Bad news for BJP  % people in M.P Rajasthan, Chhattisgarh want to vote out BJP .."
positive," Congress President Rahul Gandhi, who is himself out on bail should come out and tell us if he is going to investigate this c"
positive," | Exit polls are generally more accurate than opinion polls. By this logic, BJP seems to be better pl"
positive,Whats the Maharashtra BJP doing? Put him behind bars!
negative," Chidambaram didn't disclose its investments to tax authority, violating Black Money Law, which was brought by Modi govt as p"
positive, Reasons why he broke up with BJP. Needs votes from his friends to stay in power. sold its soul to a puncture Wa
negative," Thank God Narendra Modis mother was blessed with Wisdom and did not embark on a sin of abortion. Due to her love, India"
positive, Modi could not fool everyone.
positive,Good to see somebody in BJP finally take this up. $NUMBER$
negative,years of Modi years of Modi government Poll checks public mood - The Economic Times via
positive, Gate way to tamil nadu for bjp is very easy.
positive," Be it BJP or Congress, when it comes to J&amp;K and Nagaland, a political problem canno $NUMBER$"
positive,"Nirmal Singh , BJP LEADER , (1) Constructs illegal building adjacent to ammunition depo (2) Takes $NUMBER$ crores loan"
positive," Sharif ees Pak terror, admits Pak hand to /11. Admission jolts apologists, but no apology from them yet. BJP slams, wa"
negative," Dalit Atrocities by an anti-dalit BJP continue unabated - this time in Gadag, Karnataka for not voting for BJP."
positive,A paradigm change from past. Modi Go
positive,I have gone through YouTube but nowhere I got a video that Modi has told that he wo
positive,Karnataka elections saw Modi take political discourse to a new low | |
positive, Republic News Anchor Arnab Goswami Is BJP Agent.
negative,Here is the good news from JD(S) No support for Bjp. Since the BJP won't be getting majorityin the Karnataka State e
positive,Modi Govt successes
positive,"Nirmal Singh , BJP LEADER , (1) Constructs illegal building adjacent to ammunition depo (2) Takes $NUMBER$ crores loan"
negative,So mean to say that if we are frm BJP or RSS we can abuse the PM? Or thay PM
positive, PM Shri Narendra Modis vision of world class city being fulfilled by Shri Vijay Rupani led Government of Gujarat. Come an
negative,Dear Voters of remember this wise advice of BJP leader before you vote in
positive,"BJP IT Cell eed, how they work and spread propaganda of Hindu Muslim fights. And what"
positive, Modi rule made the way to loot banks and fled away. Modi rule created the way to protect corrupted like jagan an
positive, We started off with party members and now we are the largest political party in the world with crore party members  BJP ch
positive," Met with the bereaved family of BJP worker Jagannath Tuddu, Mondal General Secy of ST Morcha, who was killed by TMC goons. H"
negative,If only the BJP government did the same with its Netas who talk similar crap.
negative, Yup only % and yet they won because despite being in majority Hindu votes got divided between Shiva Sena and BJP while
positive, False BJP will attack the government
positive,India Progress Only With Congress
positive,Put Dr Swamy in charge of going after the Corrupt and BJP will probably have some credibility. Sorry sir
positive, This turncoat spewed venom against on TV debates in his pre-Modi chamcha days &amp; n
negative, BJP National President Hon'ble Sh ji will address 'Booth Karyakarta Sammelan' today in Goa.
positive,When CPIM continue to attack RSS &amp; BJP workers they have every right to defend and counter attack. The failed Keral
positive,Forget Surveys and Opinion Polls!!! Ground Report suggests that BJP will make a massive victory in Karnataka Assemb
negative," Liar-in-Chief, Congress Govt always blamed only Pak for /11. Never ever did it blame RSS - though RSS has been responsible f"
positive, Narendra Modi's rare moment of truth!
negative,you don't see this abusive?? Or you only suspend and delete pro modi or pro BJP or pr
negative, Modi Govt cheats to make its governance look good Change goal post Measure yardsticksuch other deviating measures that few
positive,"Although he is talking of Modi, after seeing his tweet his mother feels she should have had the abortion."
positive," BJP s deliberate targeting of Chidambaram family thru a dozen investigating agencies, is sheer vindictiveness... none of the"
positive, Modi ji in his home town today.
negative,BJP leader Nirmala Seetharaman did it and elored the best in PCs case. Former finance minister will be booked
positive,"President Ramnath Kovind, PM Narendra Modi condole thunderstorms deaths"
positive,"Being polite to the murderous, bigoted, invasive, shit-for-brains BJP and Sanghis is a crime. They only"
positive,can u elain me how is it even remotely possible how as per deshmukh % M voted bjp
positive,"Within months of Election BJP, IPFT relation..."
negative, Nice to have at least one BJP guy warning this chit of a taklu to hold his toungue or be prepared to get it dissecte
positive, 'Never seen such a hardworking Prime Minister like Narendra Modi' - Ram Vilash Paswan.
positive,"Crackdown on shell companies Narendra Modi government, regulators now pla"
positive, Why Modi is a bigger threat to Indian democracy than Trump is to America via
positive, May EVM is fine. Rahulji winning!
positive,May EVM developing faults. Rahulji forming govt with outside support
positive, India not safe in BJPs hands as nation cannot be built on divides Shashi Tharoor
positive,Modi is an ass h**e. Trump b
positive,"BJP, Congress spar over Chidambaram's 'undeclared' assets (Roundup) - d"
positive," Don't give excuses to justify your dirty mind, your vile tweets and your hatred for PM Modi. You are just an abusive, a"
positive,"BJP leaders firm that bought Nagrota land owes Rs $NUMBER$ crore to J&amp;K Bank,"
negative," The Narendra Modi government is planning to increase the jail term for those who abandon or abuse their elderly parents,"
positive,Exit Polls are entertainment for BJP for days. Based upon Statistician data of feet average depth of the river.
positive, The great Congress IT cell head and great FOS champion skip from casting their votes.
negative,"This thread, reveals Modi is not writing the notes himself. notes at different time and place, different handwriting. A"
negative,"Whether BJP, Congress or TC, all to work as commitment to respective party but should not make informal un $NUMBER$"
positive, Star campaigners of BJP;
positive,Bjp ready ga undani powerstar em chesthado chudal
positive,which was brought by Modi gov
positive, In fact BJP &amp; especially Modiji has a Congress &amp; Nehru phobia. % of what Mr Modi talks abou
positive,"I have a very strong feeling that if BJP does not get an absolute majority in Karnataka tomorrow, Congress will go"
negative,constant lies by modi does it impact any vote swing
positive, India not safe in BJPs hands as nation cannot be built on divides Shashi Tharoor via
positive,Operation GARUDA of BJP is to take over AP to its hands. Operation NADDI VIRUGUDU is for YSRCP and JANASENA... Both
positive,PM Modi Must Resign On Moral Grounds.
positive,kids amazing Q&amp;A on Narendra Modi
positive,"Today in West Bengal , it is Didi Vrs ALL . Even BJP has handshaked with Left Parties."
positive, JDS sources in Bangalore claim BJP support to JDS % sure to keep Congress out. Vokkaliga mutts will play key role if JDS
negative,"BJP, LG and Maken together tried to stop mohalla clinics last year. They successfully delayed it by several months."
positive,JNU Student recalling horrific days of evil Modi era in front of her professors during Ancient History
positive," Sanjay Patil, BJP candidate from Belagavi rural. Listen to him lambasting Rahul Gandhi for disrespecting Vishveshwaraiah and V"
positive,Be prepared to be gucked royally by BJP
positive," Modi-Xi meeting brings optimism, may help India and China step out of Doklam shadow"
positive,MODI is a confused being
positive,Honestly the mrkts does not bother who rules Karnataka. BJP or congress the fiis may be happy if BJP wins. However $NUMBER$
negative," If BJP doesn't win by itself, Siddaramaiah has smartly played his cards already - he talked of Dalit CM."
positive,Congress is better than BJP...
negative,Manmohan Singh was a better &amp; incomparable prime minister to Modi ...
negative, BJPites only care about Power.
positive,Hindu Khatre mein hain BJP se.
positive,PM Modi's quotes via NMApp
positive,"sir, can u pls let me know how u think % M voted BJP. or is there a typo in ur table"
positive, Put Dr Swamy in charge of going after the Corrupt and BJP will probably have some credibility. Sorry sir. Too lit
negative,modi spoke truth for the first time
positive, My message to BJP Booth Karyakartas. HOW DEDICATED PARTY CHIEF MINISTER GOA MR ji s
positive,The best way for to counter BJP is to act pro hindu.
positive, Addressed our BJP karyakartas and office bearers from Wardha-Chandrapur-Gadchiroli for the upcoming Maharashtra Legislati
positive,Kick his butts instead doing wrong things. How do u know he is supported of modi ? Even if he is still
negative, JP is Kaamdhenu COW of cash for BJP. Loads of party fund... bound to protect hi
positive," Me joining BJP? Seriously, April can't go on and on into May also. (I clarify truth). My only par"
positive,Modi is bloody selfish and o
positive, Narendra Modi in UK 'The person in the Royal Palace in London is the Sevak of crore Indians' | READ
positive,Anybody can become PM but not PAPPU. You are in bjp better join congress
positive,"First it was ""Saffron Terror"" by BJP/RSS coined by Rahul Gandhi &amp; Congis."
positive,Another massive shock to Congress in Karnataka! India's most trusted election eert says BJP will get $NUMBER$ seat
positive, Hey just like bihar looks like computer template coding marking the congress &amp; bjp got interchanged again
positive, Madan Mohan Malviya how a four-time Congress president became a BJP icon C via
negative,To rub it in further now Modi wants Indians to use eensive petrol and diesel as Lubricant
positive,
positive,"You ask Shah, about his son, Modi about Nirav Modi, Adani, Gadkari about his in scams both i $NUMBER$"
positive,There can be thousands of such cases by Congis &amp; others during their rule.These shameless ppl have done
positive,You have redifined the definition of A Karyakarta of BJP. $NUMBER$
positive,"From Godaulia Crossing, Benares, Asked one gentleman..How the Progress under Modi ji ! He has this to answer."
negative, I can tell you why BJP Union Ministers are campaigning in Karnataka
positive, I want to ask our opponents and the Congress whose senior party leaders have launched a book that /11 attack was an RSS conspira
negative," Prime Minister's new improved BJP dream team for Karnataka. FRESH out of jail, MODI-FIED and REDDY to steal."
positive,MODI is full of fear and
positive," I attract anger from Mr Modi, because he sees a threat from me Congress President htt"
negative,Koyee nahin still EVM has enough power to vote in BJP.
positive," While the BJP is talking of anti-corruption, its candidate allegedly tries to bribe for a clean chit for looting Karnataka. W"
positive, Modi world's th most powerful person (2015) ~ Forbes
positive," This is how Modi &amp; Yeddy are getting ""Reddy"" to loot Karnataka. Fortunately, the people of Karnataka will not let that hap"
positive,Would the torchbearers of secularism be silent if this is was happening in a BJP ruled state?The eerie silence is d
positive,Modi is like a monkey holding sword.
positive, No Gaurav this man cannot be left with a warning. He has abused Modi so badly and his mother today!It hurts us
positive, BJP seems to b a single largest party and going to get clear majority to form d govt on it's own.
negative," In Karnataka, when it comes to corruption, its a No Contest as this graphic shows. The BJP wins hands down! https://t.c"
positive, It's a clear fight in Karnataka. Clean Politics vs Dirty Politics. Mafia vs People. With the BJP fielding the corrupt Redd
positive,"Lightning and storm strike Delhi-NCR, UP, Bengal, Andhra; killed..PM Modi says Saddened by the loss of lives due"
positive, The People Of Madhya Pradesh &amp; Because MP Has Become A State Of Scams &amp; Goons Of BJP.
positive,BJP it is
negative," If the Congress does aspire for political success at the center, it needs to have strong regional play"
positive,"I have never seen the committed Congress , which was seen in . The way Congres $NUMBER$"
negative,Gujarat riots happened in Modi's tenure. So what do you wanna imply here?
positive, The BJP doesn't understand the term 'Hindu.' When BJP uses the term 'Election Hindu' it defines their own perspective of the
negative," His tweets came after Sitharaman led the BJPs charge against the former finance minister over alleged corruption, likening h"
positive,Kavis correctly doing everything. This raise is eected after Karnataka election. Eenapiravi Modi
positive, Where is the contribution of Modi here??? India has shined before modi and India will shine without modi
positive, BJP IT Cell tried to bribe Lakh rupees to Mahavir in exchange for defaming me. This sting video ees their dirty tr
positive," To somehow win Karnataka, BJP has made a compromise with organised political crime and corruption with Ballaris Reddy br"
positive, Why doesnt she ask Narendra Modi? Last I checked he was Prime Minister of India...
positive,Press statement by AICC spokesperson on the the 'BJP's Vikram &amp; Baital'.
positive,Anti incumbency of Modi Govt.
positive, AP And Telangana BJP Leaders To Meet Amit Shah In Delhi | TV5 News
positive, Pic :Modi posing for the camera pretending to sign a folder.
positive,Pic :Modi posing for the camera pretending to spin a ch
positive," Army harassing people in J&amp;K - read the charge of RSS man BJP Dy CM of J&amp;K, Srijukt Nirmal Singh. All because Indian Army"
negative,"BJP's fighting corruption is fake, or else, after exhausting four years of gover"
positive," In Karnataka, Congress Vs BJP is a ""no contest"" as this graphic shows."
positive, Shri Narendra Modi
positive, Can BJP Bengal open Donation link for affected families.? People from all our India will help.
positive, Muslim TMC Karyakarta Bappa Sheikh arrestedfor raping the -month pregnant relative of a BJP candidate for
positive,"Imran Khan slams Nawaz Sharif, says he speaks PM Narendra Modi's language via"
positive,Lets learn Maths with BJP:
positive,Astro-turf Hindutva The BJP Links Behind The Gurugram Namaz Disruption
positive," NOW 'Imaandari' test for Cong. BJP guns for Chidambaram, '$3 billion' black money charge. But Cong rubbishes 'vendetta'. Chi"
positive, Probable victory of BJP in Karnataka Elections is eected to give impetus to the stock markets since this will add to the
positive,"BJP leaders firm that bought Nagrota land owes Rs $NUMBER$ crore to J&amp;K Bank, account NPA u1 via"
positive,BJP will get around seats
positive,"When you go my rumour you need to question Shah and Modi about Gujarat, Up and"
positive," ""I would like PM Modi to visit Indira Canteens in Karnataka and replicate these Canteens in other BJP states"":"
positive,CPM and BJP has no connection officially.
positive,It's poor CPM cadres who are taking support of bjp cadres out of fear of
negative,Dude y ru blaming bjp only . All political parties communalise for vote bank . British start c
negative, Dear Voters of remember this wise advice of BJP leader before you vote in
negative," ""My mother is more Indian than many Indian people I see. She has sacrificed &amp; suffered for the country."" Watch Congress Presi"
positive," BJP MP Shatrughan Sinha hinted that he would contest the Lok Sabha polls from Patna Sahib constituency, from where he h"
positive,See what plans Modi govts top Defence Teacher has for the future.
positive, Sir How Many BJP Ministers visited you when you were in Jail?
positive,Tewari Jung does that for congress / RG what it is alleging for BJP! / Modi.
positive,You are one of the gem of bjp goverment.
positive,BS Yeddyurappa BJP CM Candidate is going to Delhi today to fix the time with PM for his Swearing in C
positive,"Ask him which party's MP, mla, corporator are in.charge of that polluted lake! Answer is BJP"
positive, BJP President to chair a meeting of the party's office-bearers today.
positive, Arrested Jalukbari BJP youth wing president Rajiv Dhar with Assam BJP Minister Pijush Hazarika
negative," ""BJP will win $NUMBER$ seats"" BS Yeddyurappa's forecast"
negative," NDTV features the Prime Minister's new improved BJP dream team for Karnataka. FRESH out of jail, MODI-FIED and REDDY to st"
negative,She is same Manini who wrote congress wave in Gujarat elections...10 years later Bjp still ruling Gujarat and
negative, India's Modi slammed for false claims as key vote nears
positive, Congress will Return to Power in Karnataka
positive,Congress $NUMBER$ seats.
positive,BJP  $NUMBER$ seats
positive,Yes that is the reason the country has choose Narendra Modi who is productive making our country safe &amp; prosperous
positive," Crackdown on shell companies Narendra Modi government, regulators now plan this move..."
positive, because if It votes for BJp then there will be..
positive," I have never seen the committed Congress , which was seen in . The way Congress fought"
negative, So you mean to say just because PM modi is about to Visit Indonesia the Sucide bombing took place....
positive,  Why I Think BJP Will Get Way More Seats Than Eected
positive,Rest of the pics are by BJP IT Cell.
positive,"Crackdown on shell companies Narendra Modi government, regulators now plan this move..."
positive,"Crackdown on shell companies Narendra Modi government, regulators now plan this move..."
positive,Problem is modi is worst tha
negative," Premier K P Sharma Oli says he and Prime Minister Narendra Modi have to address ""outstanding tasks"" between the t"
negative, Shame on the Modi government for deporting Daughter of Faiz Ahmed Faiz from In
positive,feels shy to name BJP goons..
positive," Mr Modi! U didn't pay heed our pleadings of giving our homes in Noida Ext last yrs,instead yr spokesman be"
positive,I always bjp fan
positive, Typical BJP warning. Like first and last warning given to Vadra before elections.
negative, Another shame to the credits of Modi government.
negative, How does BJP &amp; Congress fund its party &amp; election machinery? Regional parties too will have to do the sam
negative, The anti-dalit mindset of BJP eed yet again. They are shameless and brazen about it too. The BJP needs to be a taught
positive,Chota Modi ran away unnecessarily.
positive,He could've joined the BJP &amp; grabbed some land outside an Army camp.
positive, modi ji  buyers &amp; consumers of being taken for ride....please help
positive, Mr. Modis speech at the Shangri La dialogue to set the course for engagement in the Indo-Pacific.
negative, Hahaha. Rahul Gandhi is just an MP &amp; party president which is in opposition. He is not PM or some minister.
positive," Rahul Gandhi is PM material because he answers tough questions like ""Are you going to be PM in ?"""
positive,Modi is always asked
negative, BJP asks Congress President whether he will investigate 's foreign assets.
positive, Watch Modi's trysts with repeated blatant lies. Can India afford a PM who invents absolute total lies &amp; uses false propogan
positive," When BJP and IT Deptt has proofs, evidences and locations of Chiddu's billions of dollars of blackmoney, they why Govt is"
positive,It's poor CPM cadres who are taking support of bjp cadres out of fear of
negative,"All will end after election when MODI G with full majority, so start our ground work immediately."
positive,Countrymen can never forget that it was Modi Ji who invite ISI to probe terrorist at
positive,"Battle hitting up . Yogi to campaign in Palghar? In Maharashtras Palghar, allies Shiv Sena and BJP up for a presti"
positive,BJP says all are one but your racist remark shows it is wrong and you ppl are born to be slaves.
positive,"$NUMBER$ After Modi's 'Chaiwala becoming PM' jibe, Amit has started his jibe 'Booth Worker becoming"
positive,Who Will Be Next Def Min of BJP - Harry Potter Modi or Doraemon Shah ?
negative," People asks Modi whether he will investigate , 's , Jay Shah money matters?"
negative,"In reply, BJP asks Co"
positive,Modi is our PM. Who are you?
negative,So unfortunate aadarniya modiji .sadar parnaam.i am a housewife my child needs loan for study in u.s.
positive," Modi's India deports a ""liberal"" Pak activist! Hope ""liberals"" here including HRCP will condemn this vociferously! http"
positive,ah ha...ok. Modi / RSS / Intolerance / Womens empowerment to blame?
positive, Modi sarkar rejects ceasefire in Kashmir during Ramzan ... project to continue
positive," Bhaktwas Noun. An act of speech by Modi fans which simultaneously combines and achieves (a) devotion to Modi, (b) invi"
positive," The Congress started its ""Vikas Khojo Yatra"" from Dantewada district a day after Chhattisgarh CM Raman Singh embarked on a """
positive,BJP IT cell likely to employ him
positive, BJP &amp; VHP embezzled Crore Rupees donated by prople for construction of Ram Temple. Money spent to make Yogi Adityanath C
positive, Shame on Modi Government.
positive, Chota Modi ran away unnecessarily.
positive, Jalukbari BJP Youth wing president Rajiv Dhar arrested for smuggling with gold worth lacs.
positive,"It's very disappointing epfo ' s pensioners who getting below Rs. , in congress regime a committee was forme"
negative," All will end after election when MODI G with full majority, so start our ground work immediately."
positive,BJP only
positive," Everyone's prestige becomes stake in every election, like sometime Modi's Acid Test , some times BJP's acid t"
positive, ah ha...ok. Modi / RSS / Intolerance / Womens empowerment to blame?
positive, What I hate is that most journalists even Rajdeep - subtly celebrate BJP more than any party.
positive,In Gujarat BJP victory is a looses win. Used various te
positive, Only Nirav Modi and Mehulbhaiyya are absconding. But why haven't the others been arrested to prevent evidence from bein
positive, CPM and BJP has no connection officially.
positive,It's poor CPM cadres who are taking support of bjp cadres out of fear of TMC.
negative,CBI set to charge PNB ex-MD in Nirav Modi scam today via
negative,BJP government is busy in Politicize Kashmir issue and poor Army ppls sufferi
positive," Dr Swamy bats for China too, but against commies in WB since their cadres are allegedly hands in glove with BJP out of"
positive,Rahat Indori Latest Mushaira at Bangalore and Best Reply to Modi Govt On... $NUMBER$ via
positive, Public Thrash BJP Corporator Anand for Misbehaving with a Woman at a Polling Booth in Hampinagar
positive,BJP not winning
positive,for BJP.
positive,'Congress free India' is ahead.
positive,"Even if triangular mandate comes out,BJP will form Govt."
negative, . Height of political arrogance. BJP Union minister Rajen Gohain abuses a
positive,I liked a video Ravish Kumar Prime Time May ; PM Modi's Fake speech on Nehru and Bhagat Singh.
positive,Shame on India and Modi $NUMBER$
positive," A tree fell in front of BJP MLA Hema Malini's convoy in , following heavy rain and dust storm in the district yester"
positive, BS Yeddyurappa BJP CM Candidate is going to Delhi today to fix the time with PM for his Swearing in Cerem
positive,Perhaps you will not leave PMship &amp; there the BJP will be facing a wash out under your
positive, Yes I was standing in queue modi was getting such slangs many seniors were like for future generations democracy s
positive, Reading Books &amp; Literature not Modi Cup of Tea..He can read only Nusense Dramatical Dialogues do Nautanki
negative,"As Modi government turns , does his report card align with his poll promises?"
negative, One local media house with unparalleled ground reach- Vijayavani-Digvijay News calls the elections for BJP.
positive,BJP $NUMBER$
negative, Attacking BJP on GST said it was a good idea which was implemented badly. Taking a jibe with a Sher he sai
positive,Reform Perform Transform  Latest development tracker of Modi governments schemes.
positive,If someone replaces u then it's a cake walk for BJP...
positive, . Give Vote to BJP.
negative, Praying BJP wins the Karnataka polls. Jai Modi
positive, So BJP is winning in Karanataka....
positive, MODI is full of fear and inferi
positive,Now the lion of the India roared once again. everyone feeling Cheer for Modi ji and now we are Dame sure that our
negative,-Ground Report.Even core supporters of Cong&amp;BJP want coalition with J
positive, Only the bjp can place it's money on a year old thief like yeddyrupa... As far as claims by m
positive, Absolutely true...BJP means one more partition that can't be accepted...
positive,Absolutely true...BJP means one more partition that can't be accepted...
positive, PM Modi has fulfilled promise of electrifying every village that was due for more than half a century
positive,Its all fault of modi
positive,Congratulations
negative,Uncounted hindu are not satisfied the rule &amp; role of BJP. May some people are involving as oppositi $NUMBER$d1
positive,"Shanti Niketan is tops in making of amazing artists by Universities in the world :R.K. Sinha,MP,BJP via"
negative,"Ap bjp new president kanna Lakshmi Narayana , ex congress minister as well son held for smuggling of liquor in $NUMBER$"
positive,"With nothing to hurl at Modi, Barkha, the frog in the well came up with the most unusual croak to compare Siddaram"
positive, Narendra Modi Prime Minister  Indias Temple Elephants Desperately in Need of Help - Sign the Petition! https://t.
positive," . president appoints Lakshminarayana, Raina as BJP's Andhra, JK chiefs"
positive,"In order to hide the upcoming Karnataka defeat, Congress makes a hilarious claim that PM Modi C"
positive, Reform Perform Transform  Latest development tracker of Modi governments schemes. u
negative, Will the Modi government get majority in Lok Sabha polls?
positive, feels shy to name BJP goons..
positive,Congress made sure nobody mocks Pappu.. cannot do anything for abusing .this sums
positive,"This is Modi level talk, pls dont stoop so low!!"
positive," All party leaders in AP have Congress roots... Chandra Babu ,jagan and Kanna, while Congress president raghuveera has BJP"
positive,Alternate route to Vaishno Devi shrine opened; Modi to inaugurate it on May
positive, LOL. Maha Police arrested this guy and its not an isolated case. BJP Govts. record shows they are the ones who us
positive," An old clipping which might interest you. Subhas Chadra Bose as BJP idol okay, said his daughter."
negative,All three states he mentioned are non bjp Govt... why did this Pappu as
negative,"Will be good fun..he will get to know abt his aukat..even in lalu-nitish wave in , bjp polled more votes here"
positive,LOL. Maha Police arrested this guy and its not an isolated case. BJP Govts. record shows they are the on
negative," Who is good for Karnataka Politics? Public gives Dhaba journo answer- MODI, BJP"
positive,Agar ap aisa bologe to ap desh droohi ho Maggi Ji with Bjp
positive, BJP MP Savitri Bai Phule says nation staring at anarchy
positive," . One more BJP Minister frm Assam, Siddhartha Bhattacharyya is eloiting his father"
positive, It's common man vs BJP..
positive," BJP attacks over alleged foreign assets, hits back with deal ."
positive,They will suspend only BJP supporter has one ISIS mind person $NUMBER$
positive," During Global slow down of ,465 USA banks failed but our PSU banks stood like rock. yrs of BJP rule blasted it mak"
negative,She is busy advocating for the fin ministry. Every minister in the BJP Govt. Authoritatively speaks
positive, you are right no comparison between Rahul &amp; Modi ... Modi ji will never able to match s compassionate leade
negative,"U LL start sleeping til MP election , wake up in n say Modi is doing that this u ppl should $NUMBER$"
positive, Rt Dipanker RT scribe_it You guys twisting my name to describe Modi ji ?
